model,delay,start,end,observations,cagr,volatility,sharpe,maximum_drawdown,calmar,expected_shortfall_5pct,turnover,leverage,market
buy_and_hold,1,1990-01-02,2023-12-29,8565,0.1020917016162286,0.18170723698437477,0.4825305831981833,-0.5525024106969596,0.15869487143557787,-0.027163087114726762,0.0,1.0,us
hmm,1,1990-01-02,2023-12-29,8565,0.08197867942514692,0.11236792546696754,0.5255060528563715,-0.25200524110125866,0.23432062254640992,-0.017863829002934525,1.7947460595446585,0.7204903677758319,us
fixed_jm,1,1990-01-02,2023-12-29,8565,0.11215778768805706,0.13124466953000002,0.6772860131253648,-0.2940911579976898,0.3022538303264052,-0.020208609351224916,0.41190893169877413,0.7985989492119089,us
buy_and_hold,5,1990-01-02,2023-12-29,8565,0.1020917016162286,0.18170723698437477,0.4825305831981833,-0.5525024106969596,0.15869487143557787,-0.027163087114726762,0.0,1.0,us
hmm,5,1990-01-02,2023-12-29,8565,0.08766379189961526,0.11497884874189919,0.5617247687581033,-0.25368907002441576,0.2545890810960057,-0.018117900982471315,2.442031523642732,0.7252772913018097,us
fixed_jm,5,1990-01-02,2023-12-29,8565,0.11360098381490413,0.12403372825274597,0.7195371842464483,-0.23708046359168122,0.3764413069997958,-0.019213123007936553,0.9415061295971978,0.7808523058960888,us
buy_and_hold,10,1990-01-02,2023-12-29,8565,0.1020917016162286,0.18170723698437477,0.4825305831981833,-0.5525024106969596,0.15869487143557787,-0.027163087114726762,0.0,1.0,us
hmm,10,1990-01-02,2023-12-29,8565,0.08510014702839985,0.1176328084013984,0.531626419628729,-0.24021604380538264,0.26033527057823613,-0.018583505818393423,2.0595446584938704,0.7271453590192645,us
fixed_jm,10,1990-01-02,2023-12-29,8565,0.11191428023468264,0.13010386387460382,0.680382052628659,-0.32225031491472866,0.27469432879017086,-0.01998226965125579,0.41190893169877413,0.7900758902510217,us
buy_and_hold,1,1990-01-02,2023-12-29,8602,0.06770006191571687,0.22083884232273418,0.298219520635974,-0.7268483329758192,0.09060824756336096,-0.03288665425002564,0.0,1.0,de
hmm,1,1990-01-02,2023-12-29,8602,0.0678029885959004,0.13995564466353896,0.36704996692253467,-0.4019871423007376,0.12779193496179575,-0.02201070904034617,2.2557544757033248,0.7294815159265288,de
fixed_jm,1,1990-01-02,2023-12-29,8602,0.07765028997337553,0.1656777032761299,0.3893499782630847,-0.4297064270188087,0.1501178621338504,-0.025621901669358193,0.820274354801209,0.809462915601023,de
buy_and_hold,5,1990-01-02,2023-12-29,8602,0.06770006191571687,0.22083884232273418,0.298219520635974,-0.7268483329758192,0.09060824756336096,-0.03288665425002564,0.0,1.0,de
hmm,5,1990-01-02,2023-12-29,8602,0.053688529134204854,0.14214944555503572,0.2699548200601977,-0.39507967049695736,0.09712959400871544,-0.022462850944392144,2.5780051150895145,0.727040223203906,de
fixed_jm,5,1990-01-02,2023-12-29,8602,0.08073889375739118,0.16543517875197059,0.40694458697610303,-0.48177882017973406,0.1397382941479717,-0.025590821883000887,0.9081608928156243,0.7930713787491281,de
buy_and_hold,10,1990-01-02,2023-12-29,8602,0.06770006191571687,0.22083884232273418,0.298219520635974,-0.7268483329758192,0.09060824756336096,-0.03288665425002564,0.0,1.0,de
hmm,10,1990-01-02,2023-12-29,8602,0.04379148652338327,0.14629623362944907,0.20193565232415392,-0.397862768790599,0.07425280194055611,-0.02323133025014966,2.958846779818647,0.7280864915136015,de
fixed_jm,10,1990-01-02,2023-12-29,8602,0.07177772991731057,0.16235490616930334,0.3602661155747812,-0.434222408058873,0.13470279355595263,-0.025348066040232004,1.655196465938154,0.7737735410369682,de
buy_and_hold,1,1990-01-19,2023-12-29,8336,0.011724303593740215,0.23383470639213008,0.1382714464184164,-0.7733118029898953,0.04181064216355692,-0.03361891749312819,0.0,1.0,jp
hmm,1,1990-01-19,2023-12-29,8336,0.022415727300095112,0.15980463276395404,0.1771023118990541,-0.5173253550929964,0.05470787317120374,-0.025137238548276597,3.1439539347408827,0.6795825335892515,jp
fixed_jm,1,1990-01-19,2023-12-29,8336,0.04162016382241385,0.15942858087756517,0.2938464380755921,-0.4402318791979486,0.10641555696436551,-0.02543211127292554,0.7557581573896353,0.6294385796545106,jp
buy_and_hold,5,1990-01-19,2023-12-29,8336,0.011724303593740215,0.23383470639213008,0.1382714464184164,-0.7733118029898953,0.04181064216355692,-0.03361891749312819,0.0,1.0,jp
hmm,5,1990-01-19,2023-12-29,8336,0.01706439513133029,0.16284462786281684,0.14457693576275568,-0.5260849053817243,0.04475242885889158,-0.02570434365357345,3.0532629558541267,0.6764635316698656,jp
fixed_jm,5,1990-01-19,2023-12-29,8336,0.03375896665436717,0.1603070392910133,0.24584602210739617,-0.5222719590315404,0.07546039423328417,-0.025661988905411735,0.9976007677543185,0.6307581573896354,jp
buy_and_hold,10,1990-01-19,2023-12-29,8336,0.011724303593740215,0.23383470639213008,0.1382714464184164,-0.7733118029898953,0.04181064216355692,-0.03361891749312819,0.0,1.0,jp
hmm,10,1990-01-19,2023-12-29,8336,0.00864135144082323,0.16478571090117403,0.09433645191715306,-0.5530255291266191,0.028109550959813438,-0.026147604552452557,3.7787907869481767,0.677063339731286,jp
fixed_jm,10,1990-01-19,2023-12-29,8336,0.03162466776095396,0.16249228609971672,0.23203031660708198,-0.5853016899126824,0.0644165859072618,-0.026203590948751118,1.0882917466410749,0.6333973128598849,jp
