date,value
1969-05-02,319.9562223516419
1969-05-05,321.1546046336633
1969-05-06,321.1702513919568
1969-05-07,323.6562692735004
1969-05-08,320.12782191280206
1969-05-09,321.9184806360737
1969-05-12,324.7232533958858
1969-05-13,324.2132151872376
1969-05-14,329.44686938417817
1969-05-16,333.6896053286553
1969-05-19,337.58247454732884
1969-05-20,337.33137009791966
1969-05-21,335.1720209248176
1969-05-22,340.1248113558744
1969-05-23,339.9397171711716
1969-05-27,341.1423303539982
1969-05-28,339.55292806979
1969-05-29,339.3676880637259
1969-05-30,341.48699244635776
1969-06-02,343.03605905889543
1969-06-03,342.69198405316547
1969-06-04,347.0354672634192
1969-06-06,349.041352649218
1969-06-09,351.0422107978423
1969-06-10,344.97731870677643
1969-06-11,338.0103670735334
1969-06-12,336.0671853870262
1969-06-13,338.9243461077944
1969-06-16,339.33204599890416
1969-06-18,336.87736455318844
1969-06-19,334.24077266284974
1969-06-20,325.31122898215705
1969-06-23,315.1484273419375
1969-06-24,322.6059686271853
1969-06-25,322.29185688147743
1969-06-26,321.4113651442413
1969-06-27,323.88488388893484
1969-06-30,323.81826965872057
1969-07-01,322.14013407468457
1969-07-02,323.50346061372176
1969-07-03,323.1947082668822
1969-07-04,324.03028187529065
1969-07-07,322.98416474238326
1969-07-08,320.52346975572164
1969-07-09,314.6663037781519
1969-07-10,314.90676694411934
1969-07-11,309.4769563422344
1969-07-14,301.9811756316723
1969-07-15,304.8633409898325
1969-07-16,310.0977148857153
1969-07-17,312.5518814801832
1969-07-18,315.0892415409605
1969-07-21,313.69373762230134
1969-07-22,315.6753372525459
1969-07-23,314.7920270951348
1969-07-24,311.5498112424293
1969-07-25,312.9586357573417
1969-07-28,311.0053053936323
1969-07-29,309.25549010470456
1969-07-30,310.2785799958798
1969-07-31,313.700582027572
1969-08-01,318.67856042411006
1969-08-04,318.85922757338045
1969-08-05,318.42212734282094
1969-08-06,322.6907205211435
1969-08-07,324.5326446741089
1969-08-08,325.4314087143538
1969-08-11,323.8690441837504
1969-08-12,326.5948319925274
1969-08-13,327.3506192466756
1969-08-14,325.6885475224848
1969-08-15,326.0303018006492
1969-08-18,326.74762159411245
1969-08-19,326.6201532670822
1969-08-20,325.98451594302685
1969-08-21,327.519598596182
1969-08-22,329.81741510931334
1969-08-25,332.05498624002814
1969-08-26,329.6072156386682
1969-08-27,330.14313693207305
1969-08-28,333.8185565500811
1969-08-29,337.45613260661054
1969-09-01,339.9999366440801
1969-09-02,342.83736549624984
1969-09-03,340.9863202031629
1969-09-04,339.4224109162721
1969-09-05,338.45547129319846
1969-09-08,336.8466368474759
1969-09-09,333.61647613834543
1969-09-10,333.59462598634906
1969-09-11,333.4897631522763
1969-09-12,331.38703178762705
1969-09-15,328.7469237148396
1969-09-16,329.9422822771004
1969-09-17,332.6160621686286
1969-09-18,334.8364450936789
1969-09-19,336.2987151574964
1969-09-22,335.96699036545147
1969-09-23,332.66643550028
1969-09-24,332.9324498863018
1969-09-25,332.66114093398744
1969-09-26,338.10218293645084
1969-09-29,336.5347432020426
1969-09-30,333.3763925244675
1969-10-01,331.3535283105634
1969-10-02,333.12731367726246
1969-10-03,337.3519114059288
1969-10-06,342.8139186421859
1969-10-07,351.5987495281445
1969-10-08,350.0482166924214
1969-10-09,349.4513067883953
1969-10-10,349.9858628604652
1969-10-13,347.408246836996
1969-10-14,343.7536290306703
1969-10-15,341.5686499878228
1969-10-16,342.78513223621337
1969-10-17,343.3580512382946
1969-10-20,346.1848116564397
1969-10-21,346.7638038844578
1969-10-22,347.7982158939932
1969-10-23,347.27803741406524
1969-10-24,345.9357988551956
1969-10-27,343.43240124361034
1969-10-28,340.6673303872998
1969-10-29,342.3571696999652
1969-10-30,346.36433940422734
1969-10-31,348.61647004108767
1969-11-03,348.2682106168931
1969-11-04,349.04816966798575
1969-11-05,350.4953621836996
1969-11-06,352.17082506685887
1969-11-07,353.86891449030344
1969-11-10,354.7555270481394
1969-11-11,359.0403513694278
1969-11-12,364.8946603643546
1969-11-13,366.34468576419147
1969-11-14,364.02867636548245
1969-11-17,366.81984824621287
1969-11-18,364.2139826748916
1969-11-20,359.78765484615474
1969-11-21,360.5755621831634
1969-11-24,361.46384722392094
1969-11-25,363.4323783780199
1969-11-26,365.7354367130198
1969-11-27,365.71138181030045
1969-12-01,366.1718349907167
1969-12-02,366.7939159027139
1969-12-03,363.8510291143413
1969-12-04,360.2890498605116
1969-12-05,353.1602788799229
1969-12-08,347.5678179266767
1969-12-09,350.4674730521865
1969-12-10,351.54517624507645
1969-12-11,352.210619306358
1969-12-12,353.49504582372833
1969-12-15,350.17422302839896
1969-12-16,346.1946023946338
1969-12-17,343.3517564427938
1969-12-18,345.5281636779056
1969-12-19,345.8586420324724
1969-12-22,343.1151666337396
1969-12-23,343.1776075816465
1969-12-29,343.85947231508123
1969-12-30,345.0047110730338
1969-12-31,347.4284005591991
1970-01-02,351.2408234671156
1970-01-05,350.96764821941025
1970-01-06,347.62304994260296
1970-01-07,348.2427519235192
1970-01-08,348.52749003406626
1970-01-09,345.7393755991781
1970-01-12,342.5590937126692
1970-01-13,339.48945928857273
1970-01-14,336.6423344317655
1970-01-15,330.8868014226958
1970-01-16,325.4088209469805
1970-01-19,324.34746512003346
1970-01-20,324.9639629419537
1970-01-21,330.2805595806202
1970-01-22,331.84963018357564
1970-01-23,330.3968297787287
1970-01-26,330.7908625378847
1970-01-27,331.8569076477378
1970-01-28,332.30731553531274
1970-01-29,327.4369218370745
1970-01-30,326.20609064907694
1970-02-02,322.00523035298903
1970-02-03,320.436746350106
1970-02-04,322.90328491613553
1970-02-05,323.07223509012425
1970-02-06,327.2782359275705
1970-02-09,328.401341777286
1970-02-10,328.4591404131256
1970-02-11,325.99249809964795
1970-02-12,326.8915057345094
1970-02-13,325.7705456571597
1970-02-16,323.58273623045073
1970-02-17,323.63968679171865
1970-02-18,320.83307624055016
1970-02-19,323.8097809090122
1970-02-20,323.5859303365536
1970-02-23,324.42937504066333
1970-02-24,323.1941511559213
1970-02-25,320.27254436581586
1970-02-26,319.09233880294886
1970-02-27,317.40574667532894
1970-03-02,314.1441718129522
1970-03-03,309.02558653476285
1970-03-04,311.32988829969145
1970-03-05,314.36633831923723
1970-03-06,315.8846209373668
1970-03-09,310.14365223402973
1970-03-10,312.50602149866785
1970-03-11,315.3195876911809
1970-03-12,320.1611848229121
1970-03-13,324.0470777061677
1970-03-16,320.83716570039
1970-03-17,321.2316528821959
1970-03-18,320.8937638379967
1970-03-19,317.681565639142
1970-03-20,316.2155822302579
1970-03-23,314.2980599595461
1970-03-24,315.3683324779485
1970-03-25,316.1005933824427
1970-03-26,319.879039214207
1970-03-31,323.15105313383543
1970-04-01,323.8850383592849
1970-04-02,324.33709270396656
1970-04-03,322.8136959422217
1970-04-06,323.43506815824475
1970-04-07,327.3316548519225
1970-04-08,329.14000388753124
1970-04-09,328.3506526139985
1970-04-10,328.012975265865
1970-04-13,325.47146405699743
1970-04-14,320.61191817987964
1970-04-15,324.7946981386565
1970-04-16,322.9296653582715
1970-04-17,317.727796920527
1970-04-20,318.06649362063484
1970-04-21,320.72447558295426
1970-04-22,318.12189145295486
1970-04-23,315.9710588196942
1970-04-24,311.8386241673253
1970-04-27,306.1763719796391
1970-04-28,301.5877918421302
1970-04-29,296.82769774709686
1970-04-30,301.8638809216639
1970-05-04,300.72745341940885
1970-05-05,301.8568361636158
1970-05-06,304.6299044224442
1970-05-08,303.15328534683783
1970-05-11,298.9552386043111
1970-05-12,295.4360398138126
1970-05-13,289.8174791704764
1970-05-14,284.9342168532206
1970-05-15,280.2761152255794
1970-05-19,278.7368342616088
1970-05-20,272.3168367516194
1970-05-21,265.5540057796979
1970-05-22,265.2601438755952
1970-05-25,261.0485867688258
1970-05-26,253.25796291129956
1970-05-27,252.56417490462573
1970-05-29,276.0131336352243
1970-06-01,269.243767105759
1970-06-02,277.01955255777057
1970-06-03,280.8194960309299
1970-06-04,283.25645443874464
1970-06-05,275.1759035229221
1970-06-08,273.57521251388374
1970-06-09,276.35342624180834
1970-06-10,275.6056568761431
1970-06-11,279.06794121974986
1970-06-12,280.0844623567338
1970-06-15,278.8246853595767
1970-06-16,278.4752748784712
1970-06-18,275.4497281860736
1970-06-19,275.669046532629
1970-06-22,274.6923488222444
1970-06-23,271.49360552505004
1970-06-24,266.5274456320593
1970-06-25,267.7710780795708
1970-06-26,268.5021676743181
1970-06-29,265.0150006169724
1970-06-30,265.06164325682823
1970-07-01,265.90667254933334
1970-07-02,264.35643505108004
1970-07-03,263.3761133088783
1970-07-06,261.0831216107947
1970-07-07,260.21599465617373
1970-07-08,268.2526326033966
1970-07-09,267.61479897342923
1970-07-10,270.74515054211275
1970-07-13,277.474341999134
1970-07-14,275.0671468725295
1970-07-15,274.03014315728643
1970-07-16,280.42060471627804
1970-07-17,277.0982824273275
1970-07-20,272.8602589891992
1970-07-21,270.79308658840324
1970-07-22,273.3565603204321
1970-07-23,273.46185863970845
1970-07-24,277.28503136313395
1970-07-27,275.6176068023952
1970-07-28,276.06663932231555
1970-07-29,280.2928523968684
1970-07-30,280.8573229362892
1970-07-31,281.99446053822743
1970-08-03,284.7352062118044
1970-08-04,283.35362609308453
1970-08-05,285.92372263949574
1970-08-06,288.09369613359445
1970-08-07,288.9465708199152
1970-08-10,292.0347455774398
1970-08-11,291.34101087736684
1970-08-12,294.545328138265
1970-08-13,292.4183239519727
1970-08-14,286.9643651602768
1970-08-17,284.31902336427925
1970-08-18,285.63117378532723
1970-08-19,285.6240661705993
1970-08-20,286.64994563524766
1970-08-21,288.4797609262256
1970-08-24,291.28616093092995
1970-08-25,289.55744089859144
1970-08-26,288.3449631626597
1970-08-27,286.67253480520816
1970-08-28,286.4357421421975
1970-08-31,285.3944238193615
1970-09-01,284.00791127322645
1970-09-02,286.1846509088348
1970-09-03,285.60263066465546
1970-09-04,285.1353964906211
1970-09-07,284.1503973558654
1970-09-08,283.2225623285554
1970-09-09,281.834147452086
1970-09-10,280.2726118116547
1970-09-11,278.5954144616309
1970-09-14,275.8815175241125
1970-09-15,276.56335662184455
1970-09-16,273.0419863610295
1970-09-17,272.85967517254875
1970-09-18,275.1541682517136
1970-09-21,273.4742400568492
1970-09-22,274.7324345319395
1970-09-23,276.0486946270027
1970-09-24,280.3628050692841
1970-09-25,282.37232481667473
1970-09-28,282.6526715796485
1970-09-29,280.85690008790607
1970-09-30,280.79096557032733
1970-10-01,276.80188722710835
1970-10-02,276.1581668674964
1970-10-05,278.22673639746745
1970-10-06,278.3911510813962
1970-10-07,276.82360868061045
1970-10-08,274.73581033610367
1970-10-09,275.01517986565113
1970-10-12,271.5399685963175
1970-10-13,269.56565348141
1970-10-14,271.1154993921178
1970-10-15,272.43470175399364
1970-10-16,272.598260149532
1970-10-19,273.224388578052
1970-10-20,275.2963604300185
1970-10-21,280.66566661430966
1970-10-22,276.6080435055755
1970-10-23,283.0787078698745
1970-10-26,284.4015737886527
1970-10-27,283.9307464620923
1970-10-28,278.65520784006685
1970-10-29,279.5726966410269
1970-10-30,276.37913610564715
1970-11-02,274.6902737865717
1970-11-03,275.89716112935304
1970-11-04,276.81477770583257
1970-11-05,276.11018077607514
1970-11-06,276.27469144083415
1970-11-09,273.8886668058792
1970-11-10,273.82091495915284
1970-11-11,276.1886408152668
1970-11-12,273.4533241948854
1970-11-13,269.150794509463
1970-11-16,267.9797630907087
1970-11-17,269.2455449009756
1970-11-19,263.2568172923701
1970-11-20,260.516749779717
1970-11-23,258.8788508402864
